# gnuplot dump (#col:description)
# networking interface: enp0s25
# sampling interval (t): 1000 ms
# 1:unixtime 2:rx-bytes-per-t 3:rx-pkts-per-t 4:rx-drops-per-t 5:rx-errors-per-t 6:rx-bytes 7:rx-pkts 8:rx-drops 9:rx-errors 10:tx-bytes-per-t 11:tx-pkts-per-t 12:tx-drops-per-t 13:tx-errors-per-t 14:tx-bytes 15:tx-pkts 16:tx-drops 17:tx-errors 18:context-switches-per-t 19:mem-free 20:mem-used 21:mem-total 22:swap-free 23:swap-used 24:swap-total 25:procs-total 26:procs-in-run 27:procs-in-iow 28:cpu0-usr-per-t 29:cpu0-nice-per-t 30:cpu0-sys-per-t 31:cpu0-idle-per-t 32:cpu0-iow-per-t 33:cpu0-net-irqs-per-t 34:cpu0-net-irqs 35:cpu0-net-rx-soft-irqs-per-t 36:cpu0-net-rx-soft-irqs 37:cpu0-net-tx-soft-irqs-per-t 38:cpu0-net-tx-soft-irqs 39:cpu1-usr-per-t 40:cpu1-nice-per-t 41:cpu1-sys-per-t 42:cpu1-idle-per-t 43:cpu1-iow-per-t 44:cpu1-net-irqs-per-t 45:cpu1-net-irqs 46:cpu1-net-rx-soft-irqs-per-t 47:cpu1-net-rx-soft-irqs 48:cpu1-net-tx-soft-irqs-per-t 49:cpu1-net-tx-soft-irqs 50:cpu2-usr-per-t 51:cpu2-nice-per-t 52:cpu2-sys-per-t 53:cpu2-idle-per-t 54:cpu2-iow-per-t 55:cpu2-net-irqs-per-t 56:cpu2-net-irqs 57:cpu2-net-rx-soft-irqs-per-t 58:cpu2-net-rx-soft-irqs 59:cpu2-net-tx-soft-irqs-per-t 60:cpu2-net-tx-soft-irqs 61:cpu3-usr-per-t 62:cpu3-nice-per-t 63:cpu3-sys-per-t 64:cpu3-idle-per-t 65:cpu3-iow-per-t 66:cpu3-net-irqs-per-t 67:cpu3-net-irqs 68:cpu3-net-rx-soft-irqs-per-t 69:cpu3-net-rx-soft-irqs 70:cpu3-net-tx-soft-irqs-per-t 71:cpu3-net-tx-soft-irqs 
# data:
1576696425 0 0 0 0 87470568 385428 0 0 0 0 0 0 10284587 121650 0 0 570 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 755966 1 759816 0 120553 0 0 1 100 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696426 114 1 0 0 87470682 385429 0 0 0 0 0 0 10284587 121650 0 0 78 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 755967 1 759817 1 120554 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696427 2074 16 0 0 87472756 385445 0 0 0 0 0 0 10284587 121650 0 0 381 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 1 100 0 0 0 0 190 0 310 0 0 0 100 0 17 755984 17 759834 0 120554 0 0 0 99 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696428 0 0 0 0 87472756 385445 0 0 0 0 0 0 10284587 121650 0 0 579 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 755984 0 759834 0 120554 0 0 0 99 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696429 64 1 0 0 87472820 385446 0 0 64 1 0 0 10284651 121651 0 0 118 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 755987 3 759837 0 120554 0 0 0 100 1 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696430 90 1 0 0 87472910 385447 0 0 90 1 0 0 10284741 121652 0 0 93 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 755989 2 759839 0 120554 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696431 90 1 0 0 87473000 385448 0 0 0 0 0 0 10284741 121652 0 0 100 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 755991 2 759841 1 120555 0 0 0 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3984 0 2359 
1576696432 154 2 0 0 87473154 385450 0 0 0 0 0 0 10284741 121652 0 0 98 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 755993 2 759843 0 120555 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696433 244 3 0 0 87473398 385453 0 0 0 0 0 0 10284741 121652 0 0 367 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 4 755997 4 759847 0 120555 0 0 0 100 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3984 0 2359 
1576696434 64 1 0 0 87473462 385454 0 0 0 0 0 0 10284741 121652 0 0 114 2760872 1009888 3770760 3909628 11264 3920892 118 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 755998 1 759848 0 120555 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696435 90 1 0 0 87473552 385455 0 0 0 0 0 0 10284741 121652 0 0 1063 2765096 1005664 3770760 3909628 11264 3920892 114 1 0 1 0 3 97 0 0 0 0 190 0 310 2 0 1 98 0 2 756000 2 759850 0 120555 2 0 1 98 0 0 0 0 254 0 380 0 0 2 96 0 0 0 0 3984 0 2359 
1576696436 0 0 0 0 87473552 385455 0 0 0 0 0 0 10284741 121652 0 0 606 2765160 1005600 3770760 3909628 11264 3920892 114 1 0 1 0 0 99 0 0 0 0 190 0 310 0 0 0 100 0 0 756000 0 759850 0 120555 0 0 0 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3984 0 2359 
1576696437 90 1 0 0 87473642 385456 0 0 0 0 0 0 10284741 121652 0 0 498 2765160 1005600 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756002 2 759852 1 120556 0 0 0 100 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696438 90 1 0 0 87473732 385457 0 0 0 0 0 0 10284741 121652 0 0 364 2765372 1005388 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756003 1 759853 0 120556 0 0 0 100 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3984 0 2359 
1576696439 90 1 0 0 87473822 385458 0 0 0 0 0 0 10284741 121652 0 0 114 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756005 2 759855 0 120556 0 0 0 99 1 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696440 0 0 0 0 87473822 385458 0 0 0 0 0 0 10284741 121652 0 0 83 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756005 0 759855 0 120556 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696441 90 1 0 0 87473912 385459 0 0 90 1 0 0 10284831 121653 0 0 101 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 756008 3 759858 1 120557 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696442 90 1 0 0 87474002 385460 0 0 0 0 0 0 10284831 121653 0 0 87 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756009 1 759859 0 120557 0 0 0 101 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696443 0 0 0 0 87474002 385460 0 0 0 0 0 0 10284831 121653 0 0 391 2765420 1005340 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756010 1 759860 0 120557 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696444 90 1 0 0 87474092 385461 0 0 0 0 0 0 10284831 121653 0 0 104 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756011 1 759861 0 120557 0 0 0 99 1 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696445 90 1 0 0 87474182 385462 0 0 0 0 0 0 10284831 121653 0 0 567 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756013 2 759863 0 120557 0 0 1 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3984 0 2359 
1576696446 236 3 0 0 87474418 385465 0 0 90 1 0 0 10284921 121654 0 0 594 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 4 756017 4 759867 0 120557 0 0 0 97 2 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3984 0 2359 
1576696447 0 0 0 0 87474418 385465 0 0 0 0 0 0 10284921 121654 0 0 681 2765284 1005476 3770760 3909628 11264 3920892 114 2 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756018 1 759868 1 120558 1 0 0 99 0 0 0 0 254 0 380 0 0 0 97 0 0 0 0 3984 0 2359 
1576696448 180 2 0 0 87474598 385467 0 0 90 1 0 0 10285011 121655 0 0 270 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 1 0 0 100 0 3 756021 3 759871 1 120559 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696449 90 1 0 0 87474688 385468 0 0 0 0 0 0 10285011 121655 0 0 374 2765284 1005476 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 100 0 2 756023 2 759873 0 120559 0 0 0 100 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3984 0 2359 
1576696450 180 2 0 0 87474868 385470 0 0 0 0 0 0 10285011 121655 0 0 243 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756025 2 759875 0 120559 0 0 0 100 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3984 0 2359 
1576696451 270 3 0 0 87475138 385473 0 0 82 1 0 0 10285093 121656 0 0 351 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 1 0 0 100 0 5 756030 5 759880 2 120561 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696452 64 1 0 0 87475202 385474 0 0 64 1 0 0 10285157 121657 0 0 512 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 100 0 2 756032 2 759882 0 120561 0 0 0 100 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696453 90 1 0 0 87475292 385475 0 0 0 0 0 0 10285157 121657 0 0 455 2765224 1005536 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756034 2 759884 0 120561 0 0 0 99 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696454 0 0 0 0 87475292 385475 0 0 0 0 0 0 10285157 121657 0 0 212 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756034 0 759884 0 120561 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696455 90 1 0 0 87475382 385476 0 0 0 0 0 0 10285157 121657 0 0 796 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 1 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756036 2 759886 0 120561 0 0 0 99 0 0 0 0 254 0 380 0 0 2 97 0 0 0 0 3984 0 2359 
1576696456 90 1 0 0 87475472 385477 0 0 0 0 0 0 10285157 121657 0 0 540 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756037 1 759887 1 120562 0 0 0 100 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696457 90 1 0 0 87475562 385478 0 0 0 0 0 0 10285157 121657 0 0 86 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756039 2 759889 0 120562 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696458 2752 43 0 0 87478314 385521 0 0 64 1 0 0 10285221 121658 0 0 299 2765404 1005356 3770760 3909628 11264 3920892 114 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 0 99 0 44 756083 44 759933 0 120562 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696459 90 1 0 0 87478404 385522 0 0 90 1 0 0 10285311 121659 0 0 353 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 99 1 0 0 0 190 0 310 0 0 0 100 0 3 756086 3 759936 1 120563 0 0 0 98 1 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696460 219 1 0 0 87478623 385523 0 0 0 0 0 0 10285311 121659 0 0 334 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756087 1 759937 0 120563 0 0 0 99 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696461 283 2 0 0 87478906 385525 0 0 0 0 0 0 10285311 121659 0 0 361 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 756090 3 759940 1 120564 1 0 0 99 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3984 0 2359 
1576696462 219 1 0 0 87479125 385526 0 0 0 0 0 0 10285311 121659 0 0 299 2765412 1005348 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756091 1 759941 0 120564 0 0 1 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696463 373 3 0 0 87479498 385529 0 0 0 0 0 0 10285311 121659 0 0 155 2765612 1005148 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 4 756095 4 759945 0 120564 0 0 0 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3984 0 2359 
1576696464 0 0 0 0 87479498 385529 0 0 0 0 0 0 10285311 121659 0 0 102 2765664 1005096 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756095 0 759945 0 120564 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696465 0 0 0 0 87479498 385529 0 0 0 0 0 0 10285311 121659 0 0 778 2765380 1005380 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756096 1 759946 0 120564 0 0 0 100 0 0 0 0 254 0 380 1 0 2 97 0 0 0 0 3984 0 2359 
1576696466 90 1 0 0 87479588 385530 0 0 90 1 0 0 10285401 121660 0 0 104 2765380 1005380 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756098 2 759948 2 120566 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696467 90 1 0 0 87479678 385531 0 0 0 0 0 0 10285401 121660 0 0 747 2765380 1005380 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756100 2 759950 0 120566 0 0 0 100 0 0 0 0 254 0 380 0 0 2 97 0 0 0 0 3984 0 2359 
1576696468 90 1 0 0 87479768 385532 0 0 0 0 0 0 10285401 121660 0 0 343 2765128 1005632 3770760 3909628 11264 3920892 114 1 0 0 0 1 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756101 1 759951 0 120566 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696469 270 3 0 0 87480038 385535 0 0 0 0 0 0 10285401 121660 0 0 336 2765128 1005632 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 4 756105 4 759955 0 120566 0 0 0 99 1 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696470 0 0 0 0 87480038 385535 0 0 0 0 0 0 10285401 121660 0 0 330 2765128 1005632 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756105 0 759955 0 120566 0 0 0 100 0 0 0 0 254 0 380 0 0 0 99 0 0 0 0 3984 0 2359 
1576696471 180 2 0 0 87480218 385537 0 0 0 0 0 0 10285401 121660 0 0 93 2765128 1005632 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 756108 3 759958 1 120567 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696472 0 0 0 0 87480218 385537 0 0 0 0 0 0 10285401 121660 0 0 85 2765128 1005632 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756108 0 759958 0 120567 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696473 180 2 0 0 87480398 385539 0 0 0 0 0 0 10285401 121660 0 0 356 2765328 1005432 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 756111 3 759961 0 120567 0 0 0 100 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696474 154 2 0 0 87480552 385541 0 0 0 0 0 0 10285401 121660 0 0 120 2765380 1005380 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 2 756113 2 759963 0 120567 0 0 0 99 1 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696475 180 2 0 0 87480732 385543 0 0 0 0 0 0 10285401 121660 0 0 92 2764236 1006524 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 3 756116 3 759966 0 120567 0 0 1 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
1576696476 90 1 0 0 87480822 385544 0 0 0 0 0 0 10285401 121660 0 0 551 2764024 1006736 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756117 1 759967 1 120568 0 0 0 100 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3984 0 2359 
1576696477 180 2 0 0 87481002 385546 0 0 90 1 0 0 10285491 121661 0 0 340 2764024 1006736 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 4 756121 4 759971 1 120569 0 0 0 100 0 0 0 0 254 0 380 0 0 1 99 0 0 0 0 3984 0 2359 
1576696478 0 0 0 0 87481002 385546 0 0 0 0 0 0 10285491 121661 0 0 179 2763636 1007124 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 0 756121 0 759971 0 120569 0 0 0 100 0 0 0 0 254 0 380 0 0 1 100 0 0 0 0 3984 0 2359 
1576696479 0 0 0 0 87481002 385546 0 0 0 0 0 0 10285491 121661 0 0 656 2763676 1007084 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 0 100 0 1 756122 1 759972 0 120569 0 0 0 99 0 0 0 0 254 0 380 0 0 1 97 0 0 0 0 3984 0 2359 
1576696480 64 1 0 0 87481066 385547 0 0 64 1 0 0 10285555 121662 0 0 1062 2763772 1006988 3770760 3909628 11264 3920892 114 1 0 0 0 0 100 0 0 0 0 190 0 310 0 0 1 100 0 2 756124 2 759974 0 120569 0 0 0 99 0 0 0 0 254 0 380 0 0 2 96 0 0 0 0 3984 0 2359 
1576696481 90 1 0 0 87481156 385548 0 0 0 0 0 0 10285555 121662 0 0 563 2763772 1006988 3770760 3909628 11264 3920892 114 1 0 1 0 0 100 0 0 0 0 190 0 310 0 0 0 99 0 2 756126 2 759976 1 120570 0 0 0 101 0 0 0 0 254 0 380 0 0 1 97 0 0 0 0 3984 0 2359 
1576696482 0 0 0 0 87481156 385548 0 0 0 0 0 0 10285555 121662 0 0 759 2763772 1006988 3770760 3909628 11264 3920892 114 1 0 0 0 1 99 0 0 0 0 190 0 310 1 0 1 99 0 0 756126 0 759976 0 120570 0 0 0 99 0 0 0 0 254 0 380 0 0 2 97 0 0 0 0 3984 0 2359 
1576696483 64 1 0 0 87481220 385549 0 0 0 0 0 0 10285555 121662 0 0 148 2763972 1006788 3770760 3909628 11264 3920892 114 1 0 0 0 0 99 0 0 0 0 190 0 310 0 0 1 99 0 2 756128 2 759978 0 120570 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3984 0 2359 
